iter	RMSE
0	170.3863789
1	160.2811016
2	152.5147318
3	144.0957356
4	137.0063384
5	132.0390457
6	126.9959879
7	121.6120264
8	117.451472
9	114.494233
10	111.0829218
11	105.559303
12	102.7223398
13	100.3139136
14	96.2825753
15	94.49044162
16	90.63151025
17	87.23070044
18	85.35978319
19	83.15381248
20	80.28070731
21	79.26130083
22	76.81272101
23	75.46871725
24	74.28089202
25	72.78535576
26	72.03313934
27	70.79990384
28	68.84860803
29	68.21072333
30	67.63965279
31	67.12112572
32	66.59983918
33	65.34001011
34	64.13678153
35	63.34992115
36	63.11087173
37	62.70685874
38	62.25604854
39	61.17170158
40	60.80797397
41	60.01368227
42	59.58980678
43	59.03792014
44	58.44428637
45	57.80781787
46	57.49441075
47	57.20729936
48	56.53383183
49	55.86652613
50	55.32176812
51	55.13249298
52	54.55993903
53	54.36599774
54	54.11651669
55	53.52864873
56	53.39998382
57	52.91552069
58	52.69499986
59	52.53027758
60	52.36081294
61	52.22649182
62	51.84826329
63	51.49062088
64	51.33435083
65	51.2312016
66	51.07757274
67	50.91214995
68	50.78431119
69	50.7082031
70	50.37708719
71	50.21641913
72	50.08167569
73	49.94485799
74	49.66153581
75	49.49315394
76	49.38101265
77	49.09722139
78	48.8120066
79	48.60966163
80	48.36944031
81	48.26158038
82	48.02208932
83	47.95261261
84	47.84087206
85	47.73736215
86	47.65820971
87	47.47237879
88	47.311027
89	47.171952
90	47.04875609
91	46.99163096
92	46.92710958
93	46.70476255
94	46.63974844
95	46.44705113
96	46.20797884
97	46.09600367
98	45.99779443
99	45.93878109
100	45.72186401
101	45.63362786
102	45.38657921
103	45.20853824
104	45.05020029
105	44.9629579
106	44.90786378
107	44.81431798
108	44.71886574
109	44.67299455
110	44.59932095
111	44.51688477
112	44.44965366
113	44.36493319
114	44.24839161
115	44.12590172
116	43.98980425
117	43.94366102
118	43.83960852
119	43.79639379
120	43.68525035
121	43.62228478
122	43.48630881
123	43.39368959
124	43.30255706
125	43.22960274
126	43.15660505
127	43.08529249
128	42.98464203
129	42.92400313
130	42.84903343
131	42.75415338
132	42.60110987
133	42.47186511
134	42.34823226
135	42.2732512
136	42.19670592
137	42.11737514
138	42.02517843
139	41.8317557
140	41.75184396
141	41.66420467
142	41.52946227
143	41.46105161
144	41.41606693
145	41.37552451
146	41.24635031
147	41.21813355
148	41.14994503
149	41.0883432
150	41.01812905
151	40.95741084
152	40.87940939
153	40.83876008
154	40.77135504
155	40.68692008
156	40.66156038
157	40.59226486
158	40.54123374
159	40.48530115
160	40.42032899
161	40.39946058
162	40.32036525
163	40.28259491
164	40.24735842
165	40.1970048
166	40.15241782
167	40.08887711
168	40.01037226
169	39.9410324
170	39.89354512
171	39.81333611
172	39.75239026
173	39.70735604
